,,,,,,,,,
83,MOUSE4,002FBE7326C4,4,3,BOTH,01-Apr-2019,23:13:10,01-Apr-2019,23:13:47
84,MOUSE4,002FBE7326C4,10,3,BOTH,01-Apr-2019,23:17:08,01-Apr-2019,23:18:25
85,MOUSE4,002FBE7326C4,1,3,BOTH,01-Apr-2019,23:20:37,01-Apr-2019,23:20:52
86,MOUSE4,002FBE7326C4,7,3,BOTH,01-Apr-2019,23:21:07,01-Apr-2019,23:22:04
87,MOUSE4,002FBE7326C4,4,3,BOTH,01-Apr-2019,23:23:41,01-Apr-2019,23:24:17
88,MOUSE4,002FBE7326C4,9,3,BOTH,01-Apr-2019,23:24:45,01-Apr-2019,23:25:56
89,MOUSE4,002FBE7326C4,6,3,BOTH,01-Apr-2019,23:36:44,01-Apr-2019,23:37:34
90,MOUSE4,002FBE7326C4,1,3,BOTH,01-Apr-2019,23:38:19,01-Apr-2019,23:38:30
91,MOUSE4,002FBE7326C4,12,3,BOTH,01-Apr-2019,23:38:40,01-Apr-2019,23:40:10
92,MOUSE4,002FBE7326C4,13,3,BOTH,02-Apr-2019,04:06:57,02-Apr-2019,04:08:35
93,MOUSE4,002FBE7326C4,13,3,BOTH,02-Apr-2019,04:09:14,02-Apr-2019,04:10:54
94,MOUSE4,002FBE7326C4,5,3,BOTH,02-Apr-2019,04:12:07,02-Apr-2019,04:12:49
95,MOUSE4,002FBE7326C4,8,3,BOTH,02-Apr-2019,04:13:48,02-Apr-2019,04:14:51
96,MOUSE4,002FBE7326C4,9,3,BOTH,02-Apr-2019,04:15:06,02-Apr-2019,04:16:16
97,MOUSE4,002FBE7326C4,9,3,BOTH,02-Apr-2019,04:36:19,02-Apr-2019,04:37:30
98,MOUSE4,002FBE7326C4,16,3,BOTH,02-Apr-2019,04:38:04,02-Apr-2019,04:40:04
99,MOUSE4,002FBE7326C4,13,3,BOTH,02-Apr-2019,04:41:09,02-Apr-2019,04:42:47
100,MOUSE4,002FBE7326C4,10,3,BOTH,02-Apr-2019,04:43:49,02-Apr-2019,04:45:06
101,MOUSE4,002FBE7326C4,1,3,BOTH,02-Apr-2019,04:46:03,02-Apr-2019,04:46:14
102,MOUSE4,002FBE7326C4,12,3,BOTH,02-Apr-2019,04:46:22,02-Apr-2019,04:47:53
103,MOUSE4,002FBE7326C4,9,3,BOTH,02-Apr-2019,05:18:39,02-Apr-2019,05:19:49
104,MOUSE4,002FBE7326C4,8,3,BOTH,02-Apr-2019,05:21:12,02-Apr-2019,05:22:16
105,MOUSE4,002FBE7326C4,10,3,BOTH,02-Apr-2019,05:22:46,02-Apr-2019,05:24:03
106,MOUSE4,002FBE7326C4,18,3,BOTH,02-Apr-2019,05:25:37,02-Apr-2019,05:27:51
107,MOUSE4,002FBE7326C4,15,3,BOTH,02-Apr-2019,05:30:25,02-Apr-2019,05:32:17
108,MOUSE4,002FBE7326C4,5,3,BOTH,02-Apr-2019,05:32:29,02-Apr-2019,05:33:12
109,MOUSE4,002FBE7326C4,1,3,BOTH,02-Apr-2019,09:14:38,02-Apr-2019,09:14:51
